account_id,txn_count,total_amount,fraud_signal_count,risk_event_count,incoming_count,outgoing_count,first_step,last_step,fraud_rate,risk_rate,activity_score,activity_band,suspicion_score
C2129197098,10,1748411.48,2,10,10,0,163,526,0.2,1.0,0.487073449713553,Low Activity,0.468707344971355
C1366192319,12,9126638.19,2,12,12,0,84,469,0.166666666666667,1.0,0.525640532378587,Low Activity,0.452564053237859
C1460854172,12,1914453.06,2,12,12,0,136,730,0.166666666666667,1.0,0.525640532378587,Low Activity,0.452564053237859
C1497532505,12,2793556.68,2,12,12,0,157,379,0.166666666666667,1.0,0.525640532378587,Low Activity,0.452564053237859
C935310781,14,3220422.49,2,14,14,0,35,376,0.142857142857143,1.0,0.558248536151217,Low Activity,0.441539139329407
C967226405,14,4967725.86,2,14,14,0,162,694,0.142857142857143,1.0,0.558248536151217,Low Activity,0.441539139329407
C105660024,15,3094694.86,2,15,15,0,44,402,0.133333333333333,1.0,0.572842826726206,Low Activity,0.437284282672621
C643624257,17,5912357.32,2,17,17,0,134,397,0.117647058823529,1.0,0.599319000832036,Low Activity,0.430520135377321
C385133759,18,5618285.07,2,18,18,0,34,688,0.111111111111111,1.0,0.61140990939124,Low Activity,0.427807657605791
C1656842502,12,3049050.56,2,11,12,0,154,537,0.166666666666667,0.916666666666667,0.525640532378587,Low Activity,0.427564053237859
C475338087,21,3656930.4,2,21,21,0,12,628,0.0952380952380952,1.0,0.64401791316387,Low Activity,0.421544648459244
C52390890,22,8375656.74,2,22,22,0,22,396,0.0909090909090909,1.0,0.653858446121787,Low Activity,0.419931299157633
C104038589,23,6842787.53,2,23,23,0,39,587,0.0869565217391304,1.0,0.66326147466006,Low Activity,0.418500060509484
C1399829166,25,9831277.06,2,25,25,0,15,379,0.08,1.0,0.680899462516483,Low Activity,0.416089946251648
C1981613973,25,20971655.34,2,25,25,0,36,374,0.08,1.0,0.680899462516483,Low Activity,0.416089946251648
C1601170327,16,6549520.04,2,15,16,0,148,380,0.125,0.9375,0.586494873821244,Low Activity,0.414899487382124
C1325541393,32,15299103.39,2,32,32,0,15,397,0.0625,1.0,0.733118592276555,Medium Activity,0.410811859227656
