nameOrig,fraud_txn_count,fraud_amount,unique_receivers
C99979309,1,10000000.0,1
C997532070,1,10000000.0,1
C99029817,1,10000000.0,1
C981150535,1,10000000.0,1
C976919593,1,10000000.0,1
C97242201,1,10000000.0,1
C956657254,1,10000000.0,1
C951363139,1,10000000.0,1
C950353738,1,10000000.0,1
C944451895,1,10000000.0,1
C934748606,1,10000000.0,1
C916267146,1,10000000.0,1
C898870268,1,10000000.0,1
C896022572,1,10000000.0,1
C88849251,1,10000000.0,1
C884104189,1,10000000.0,1
C866227621,1,10000000.0,1
C844374854,1,10000000.0,1
C841821564,1,10000000.0,1
C838062695,1,10000000.0,1
C831325954,1,10000000.0,1
C829777561,1,10000000.0,1
C824646662,1,10000000.0,1
C819618584,1,10000000.0,1
C803647471,1,10000000.0,1
C799225890,1,10000000.0,1
C794290057,1,10000000.0,1
C792651637,1,10000000.0,1
C792080060,1,10000000.0,1
C780743034,1,10000000.0,1
C766182565,1,10000000.0,1
C752627210,1,10000000.0,1
C749563037,1,10000000.0,1
C737314180,1,10000000.0,1
C731792064,1,10000000.0,1
C726730575,1,10000000.0,1
C724193820,1,10000000.0,1
C7162498,1,10000000.0,1
C714385617,1,10000000.0,1
C701712936,1,10000000.0,1
C697650903,1,10000000.0,1
C689619787,1,10000000.0,1
C689608084,1,10000000.0,1
C677394894,1,10000000.0,1
C671111468,1,10000000.0,1
C642807002,1,10000000.0,1
C63538570,1,10000000.0,1
C634268681,1,10000000.0,1
C628072559,1,10000000.0,1
C619552920,1,10000000.0,1
C618976547,1,10000000.0,1
C611266537,1,10000000.0,1
C611232899,1,10000000.0,1
C590657619,1,10000000.0,1
C576718894,1,10000000.0,1
C557530807,1,10000000.0,1
C546529,1,10000000.0,1
C538142346,1,10000000.0,1
C531780975,1,10000000.0,1
C53057884,1,10000000.0,1
C525906402,1,10000000.0,1
C524119157,1,10000000.0,1
C523152614,1,10000000.0,1
C517014062,1,10000000.0,1
C51318897,1,10000000.0,1
C512841143,1,10000000.0,1
C511044281,1,10000000.0,1
C50880393,1,10000000.0,1
C50848420,1,10000000.0,1
C507645439,1,10000000.0,1
C501435638,1,10000000.0,1
C494814442,1,10000000.0,1
C48892155,1,10000000.0,1
C487836667,1,10000000.0,1
C486804071,1,10000000.0,1
C485022724,1,10000000.0,1
C47972411,1,10000000.0,1
C476780134,1,10000000.0,1
C475879190,1,10000000.0,1
C466387318,1,10000000.0,1
C430326245,1,10000000.0,1
C426632957,1,10000000.0,1
C424305014,1,10000000.0,1
C421958672,1,10000000.0,1
C417104903,1,10000000.0,1
C416779475,1,10000000.0,1
C415175436,1,10000000.0,1
C413407419,1,10000000.0,1
C412961249,1,10000000.0,1
C409047240,1,10000000.0,1
C40489106,1,10000000.0,1
C395312314,1,10000000.0,1
C393177637,1,10000000.0,1
C392319907,1,10000000.0,1
C382584608,1,10000000.0,1
C373820487,1,10000000.0,1
C357910633,1,10000000.0,1
C356177155,1,10000000.0,1
C352927410,1,10000000.0,1
C351297720,1,10000000.0,1
C339144629,1,10000000.0,1
C333142995,1,10000000.0,1
C327855497,1,10000000.0,1
C315155195,1,10000000.0,1
C315149365,1,10000000.0,1
C313051938,1,10000000.0,1
C298387535,1,10000000.0,1
C292642955,1,10000000.0,1
C291823113,1,10000000.0,1
C29118015,1,10000000.0,1
C276347571,1,10000000.0,1
C273979298,1,10000000.0,1
C260657856,1,10000000.0,1
C25889412,1,10000000.0,1
C256835090,1,10000000.0,1
C24775045,1,10000000.0,1
C246726057,1,10000000.0,1
C239857977,1,10000000.0,1
C23198921,1,10000000.0,1
C23027348,1,10000000.0,1
C229313332,1,10000000.0,1
C220809630,1,10000000.0,1
C217654973,1,10000000.0,1
C2140038573,1,10000000.0,1
C2129111288,1,10000000.0,1
C211624085,1,10000000.0,1
C2103234501,1,10000000.0,1
C210168934,1,10000000.0,1
C2099173172,1,10000000.0,1
C2099141021,1,10000000.0,1
C2087654131,1,10000000.0,1
C2085303535,1,10000000.0,1
C2074382913,1,10000000.0,1
C2071602509,1,10000000.0,1
C2071282373,1,10000000.0,1
C2070647495,1,10000000.0,1
C2068007279,1,10000000.0,1
C2065498878,1,10000000.0,1
C2064974440,1,10000000.0,1
C2062946234,1,10000000.0,1
C2062481561,1,10000000.0,1
C2050703310,1,10000000.0,1
C2048555739,1,10000000.0,1
C2046014385,1,10000000.0,1
C2039632835,1,10000000.0,1
C2038780073,1,10000000.0,1
C2037845109,1,10000000.0,1
C2037423136,1,10000000.0,1
C2029948339,1,10000000.0,1
C2023224715,1,10000000.0,1
C2022162818,1,10000000.0,1
C2018514833,1,10000000.0,1
C200219666,1,10000000.0,1
C1989519123,1,10000000.0,1
