step,txn_count,total_amount,fraud_signal_count,fraud_rate
1,2708,285429181.15,16,0.00590841949778434
2,1014,85921604.02,8,0.00788954635108481
3,552,43293884.42,4,0.0072463768115942
4,565,72910028.57,10,0.0176991150442478
5,665,45548089.75,6,0.00902255639097744
6,1660,164310551.22,22,0.0132530120481928
7,6837,832930814.24,12,0.00175515577007459
8,21097,3439602407.35,12,0.000568801251362753
9,37628,7008379239.43,19,0.000504943127458276
10,35991,7124214893.71,11,0.000305631963546442
11,37241,7015066478.01,7,0.000187964877420048
12,36153,6754284804.75,14,0.000387243105689708
13,37515,6847540999.97,14,0.00037318405970945
14,41485,6874186933.62,12,0.000289261178739303
15,44609,7183723206.53,20,0.000448340021071981
16,42471,6960084691.15,10,0.000235454780909326
17,43361,7116325732.27,7,0.000161435391250202
18,49579,7255071578.26,16,0.000322717279493334
19,51352,7103846529.97,11,0.000214207820532793
20,40625,5173930961.93,4,9.84615384615385e-05
21,19152,2239833155.38,5,0.000261069340016708
22,12635,1456148844.67,23,0.00182034032449545
23,6144,657117971.23,2,0.000325520833333333
24,3216,392163044.05,6,0.00186567164179104
25,1598,190670809.59,18,0.0112640801001252
26,440,53827747.85,12,0.0272727272727273
27,41,10549062.83,8,0.195121951219512
28,4,8647152.22,4,1.0
29,4,1217680.46,4,1.0
30,8,975200.92,8,1.0
31,12,12927128.04,12,1.0
32,12,9361820.08,12,1.0
33,23616,4235326534.63,12,0.000508130081300813
34,30904,5510123134.35,22,0.000711881957028216
35,29157,5295843667.35,15,0.000514456219775697
36,39774,6832213559.91,19,0.000477698999346307
37,34000,5962020479.16,13,0.000382352941176471
38,31453,5242347779.47,16,0.000508695513941436
39,23391,3777663323.28,12,0.000513017827369501
40,34270,5610763049.04,14,0.000408520571928801
41,36348,5788068602.39,12,0.000330141961043249
42,41304,6360574481.6,14,0.000338950222738718
43,45060,6511754245.67,13,0.000288504216600089
44,38523,4830178103.07,8,0.000207668146302209
45,18500,2159618105.61,16,0.000864864864864865
46,12445,1396954333.96,14,0.00112494977902772
47,8681,896077856.93,21,0.00241907614330146
48,5693,540938538.75,10,0.00175654312313367
49,764,54845905.75,4,0.00523560209424084
50,6,3345118.94,6,1.0
51,14,8313333.94,14,1.0
52,8,19349931.92,8,1.0
53,10,12617901.54,10,1.0
54,4,3577598.36,4,1.0
55,12,4969150.82,12,1.0
56,18,21799570.76,18,1.0
57,6,3053734.92,6,1.0
58,20,40832628.86,20,1.0
59,20,25707837.72,20,1.0
60,12,5051824.6,12,1.0
61,14,10326374.76,14,1.0
62,8,4512316.56,8,1.0
63,8,4106789.76,8,1.0
64,18,14681327.96,18,1.0
65,20,16326827.82,20,1.0
66,24,43525991.12,24,1.0
67,6,2354600.56,6,1.0
68,18,29882358.08,18,1.0
69,20,41458369.28,20,1.0
70,6,2941247.94,6,1.0
71,20,13655351.44,20,1.0
72,14,59848379.22,14,1.0
73,8,2582474.42,8,1.0
74,22,33794195.06,22,1.0
75,8,5970615.06,8,1.0
76,4,4152727.08,4,1.0
77,10,35925500.0,10,1.0
78,10,11208144.9,10,1.0
79,10,6261606.14,10,1.0
80,10,2992622.6,10,1.0
81,10,10202118.94,10,1.0
82,10,35812474.28,10,1.0
83,12,10608310.4,12,1.0
84,16,36611285.98,16,1.0
85,14,25618937.12,14,1.0
86,18,53565564.56,18,1.0
87,6,2627321.58,6,1.0
88,8,34628042.4,8,1.0
89,6,2157581.12,6,1.0
90,16,20774510.34,16,1.0
91,8,4339885.1,8,1.0
92,10,3754118.76,10,1.0
93,4444,608142230.27,16,0.0036003600360036
94,10372,1286675245.12,12,0.00115696104897802
95,6858,853594039.56,14,0.00204141149023039
96,6350,738547809.8,4,0.00062992125984252
97,685,74683514.7,10,0.0145985401459854
98,14,12891419.98,14,1.0
99,8,13044113.8,8,1.0
100,6,3013658.28,6,1.0
101,12,12062241.02,12,1.0
102,12,6442999.62,12,1.0
103,8,5482907.76,8,1.0
104,14,7764539.0,14,1.0
105,18,15487769.3,18,1.0
106,18,12407586.84,18,1.0
107,10,5062020.64,10,1.0
108,8,15526032.36,8,1.0
109,12,8388165.94,12,1.0
110,10,8845515.58,10,1.0
111,10,11801388.46,10,1.0
112,2,84837.7,2,1.0
113,6,3976999.1,6,1.0
114,4,7748974.38,4,1.0
115,10,7226221.72,10,1.0
116,14,16376396.78,14,1.0
117,12,13355288.92,12,1.0
118,12,33446321.98,12,1.0
119,5740,652470324.75,10,0.00174216027874564
120,3144,377544600.44,12,0.00381679389312977
121,1074,111898438.66,14,0.0130353817504655
122,414,63367833.74,14,0.0338164251207729
123,52,22572340.19,6,0.115384615384615
124,4,22077380.04,4,1.0
125,10,18369419.18,10,1.0
126,6,14855403.24,6,1.0
127,14,22089204.56,14,1.0
128,8,15992485.52,8,1.0
129,21986,4391391782.56,6,0.000272900936959884
130,32890,6698931223.32,6,0.000182426269382791
131,36375,6783763408.09,16,0.000439862542955326
132,35936,6687443284.34,10,0.000278272484416741
133,35147,6475193394.21,10,0.000284519304634819
134,32391,5611630988.64,10,0.000308727733012256
135,27556,4825611448.52,8,0.000290317898098418
136,30340,5402422002.03,10,0.0003295978905735
137,32559,5123734992.96,12,0.000368561688012531
138,31422,4430204695.77,4,0.000127299344408376
139,46054,6807832968.0,4,8.68545620358709e-05
140,37012,4940313493.58,14,0.000378255700853777
141,16434,2084368981.78,8,0.000486795667518559
142,12189,1546712100.15,8,0.000656329477397654
143,7609,931760710.67,16,0.00210277303193587
144,3523,377448388.59,10,0.00283848992336077
145,1117,113049826.98,14,0.0125335720680394
146,522,66316130.03,10,0.0191570881226054
147,84,20314127.37,6,0.0714285714285714
148,12,10802770.02,12,1.0
149,22,42013551.06,22,1.0
150,14,14014584.44,14,1.0
151,18,10203595.36,18,1.0
152,6,5335020.24,6,1.0
153,19475,3684861307.08,10,0.000513478818998716
154,29241,5375430913.09,10,0.000341985568209022
155,29927,5606061971.16,8,0.000267317138370034
156,27603,4960414720.23,18,0.0006521030322791
157,29764,5050314367.42,16,0.000537562155624244
158,27839,4789734067.88,8,0.000287366643916807
159,27561,4573981952.64,10,0.000362831537317224
160,27765,4657390938.93,26,0.000936430758148748
161,33049,5387907144.99,14,0.000423613422493873
162,40622,6199143085.37,10,0.000246172025011078
163,46352,6710359139.23,8,0.000172592336900242
164,39102,4981351201.62,14,0.000358037952022914
165,16542,2053484812.33,4,0.000241808729295128
166,12176,1382688727.46,6,0.000492772667542707
167,7946,933051702.08,6,0.000755096904102693
168,3824,442551927.76,2,0.000523012552301255
169,1464,136069265.33,10,0.00683060109289617
170,529,82260708.29,16,0.0302457466918715
171,14,30834521.24,14,1.0
172,10,7312840.08,10,1.0
173,14,27327876.34,14,1.0
174,10,6161251.8,10,1.0
175,8,2700000.9,8,1.0
176,10,3362807.26,10,1.0
177,17336,3047457482.65,18,0.00103830179972312
178,28204,5861954398.26,14,0.000496383491703304
179,30534,5115943490.93,8,0.00026200301303465
180,31481,5639808481.31,10,0.000317651917029319
181,31749,5681319969.67,11,0.000346467605278906
182,31900,5233469114.49,8,0.000250783699059561
183,31199,4692443326.21,16,0.00051283694990224
184,32175,5061974882.0,8,0.000248640248640249
185,37323,6153894465.29,16,0.000428690083862498
186,43747,6531302921.01,17,0.000388598075296592
187,49083,7391259249.56,10,0.000203736527922091
