nameDest,fraud_txn_count,fraud_amount,unique_senders
C668046170,2,10160088.68,2
C972530514,1,10000000.0,1
C970791522,1,10000000.0,1
C97016938,1,10000000.0,1
C964933148,1,10000000.0,1
C952858643,1,10000000.0,1
C949015157,1,10000000.0,1
C945327594,1,10000000.0,1
C935919630,1,10000000.0,1
C919151595,1,10000000.0,1
C912767355,1,10000000.0,1
C890563348,1,10000000.0,1
C879312587,1,10000000.0,1
C875530566,1,10000000.0,1
C875288652,1,10000000.0,1
C852706972,1,10000000.0,1
C851819118,1,10000000.0,1
C845099418,1,10000000.0,1
C839316822,1,10000000.0,1
C836488544,1,10000000.0,1
C832210168,1,10000000.0,1
C810398969,1,10000000.0,1
C803763593,1,10000000.0,1
C803181313,1,10000000.0,1
C801890101,1,10000000.0,1
C790685338,1,10000000.0,1
C786701128,1,10000000.0,1
C784234900,1,10000000.0,1
C779798347,1,10000000.0,1
C769483130,1,10000000.0,1
C769108247,1,10000000.0,1
C766725973,1,10000000.0,1
C766681183,1,10000000.0,1
C761333500,1,10000000.0,1
C758711155,1,10000000.0,1
C743250798,1,10000000.0,1
C725953073,1,10000000.0,1
C72573471,1,10000000.0,1
C709815552,1,10000000.0,1
C705319954,1,10000000.0,1
C704752055,1,10000000.0,1
C678340768,1,10000000.0,1
C673002421,1,10000000.0,1
C670347095,1,10000000.0,1
C667895388,1,10000000.0,1
C6676578,1,10000000.0,1
C667232119,1,10000000.0,1
C666339947,1,10000000.0,1
C662194461,1,10000000.0,1
C650095152,1,10000000.0,1
C635621973,1,10000000.0,1
C634337503,1,10000000.0,1
C632110164,1,10000000.0,1
C625944676,1,10000000.0,1
C617558864,1,10000000.0,1
C615227407,1,10000000.0,1
C607131381,1,10000000.0,1
C606914329,1,10000000.0,1
C593822721,1,10000000.0,1
C591314687,1,10000000.0,1
C590550775,1,10000000.0,1
C588547519,1,10000000.0,1
C585344505,1,10000000.0,1
C57886357,1,10000000.0,1
C574552283,1,10000000.0,1
C565255701,1,10000000.0,1
C557678014,1,10000000.0,1
C554878096,1,10000000.0,1
C539137020,1,10000000.0,1
C532935388,1,10000000.0,1
C531811781,1,10000000.0,1
C521374455,1,10000000.0,1
C503835851,1,10000000.0,1
C503344531,1,10000000.0,1
C502437065,1,10000000.0,1
C500987951,1,10000000.0,1
C499919262,1,10000000.0,1
C497323053,1,10000000.0,1
C494244936,1,10000000.0,1
C491519946,1,10000000.0,1
C486186579,1,10000000.0,1
C483833357,1,10000000.0,1
C48227187,1,10000000.0,1
C48103061,1,10000000.0,1
C478771313,1,10000000.0,1
C476523986,1,10000000.0,1
C473496930,1,10000000.0,1
C469591174,1,10000000.0,1
C458755308,1,10000000.0,1
C455244250,1,10000000.0,1
C454550281,1,10000000.0,1
C454462706,1,10000000.0,1
C447852930,1,10000000.0,1
C43869769,1,10000000.0,1
C430952051,1,10000000.0,1
C428927923,1,10000000.0,1
C427067936,1,10000000.0,1
C419398117,1,10000000.0,1
C417213297,1,10000000.0,1
C407821637,1,10000000.0,1
C399450397,1,10000000.0,1
C39886288,1,10000000.0,1
C397396936,1,10000000.0,1
C383956352,1,10000000.0,1
C380259496,1,10000000.0,1
C36989160,1,10000000.0,1
C368640357,1,10000000.0,1
C335271811,1,10000000.0,1
C325570373,1,10000000.0,1
C308220962,1,10000000.0,1
C305170140,1,10000000.0,1
C301687974,1,10000000.0,1
C296834383,1,10000000.0,1
C290459952,1,10000000.0,1
C285979005,1,10000000.0,1
C281499391,1,10000000.0,1
C270577353,1,10000000.0,1
C270374999,1,10000000.0,1
C265818322,1,10000000.0,1
C264263365,1,10000000.0,1
C262998076,1,10000000.0,1
C259016801,1,10000000.0,1
C255905586,1,10000000.0,1
C253674970,1,10000000.0,1
C243227440,1,10000000.0,1
C242619213,1,10000000.0,1
C242007270,1,10000000.0,1
C241707602,1,10000000.0,1
C225746427,1,10000000.0,1
C224104774,1,10000000.0,1
C2136471075,1,10000000.0,1
C2129872070,1,10000000.0,1
C2124431731,1,10000000.0,1
C2122549663,1,10000000.0,1
C2116384638,1,10000000.0,1
C2110157840,1,10000000.0,1
C2108353776,1,10000000.0,1
C2105645265,1,10000000.0,1
C2104816494,1,10000000.0,1
C2086144828,1,10000000.0,1
C2077145577,1,10000000.0,1
C2073831661,1,10000000.0,1
C2065262017,1,10000000.0,1
C2061400193,1,10000000.0,1
C2059078386,1,10000000.0,1
C2055653883,1,10000000.0,1
C2053317483,1,10000000.0,1
C2049633025,1,10000000.0,1
C2034016962,1,10000000.0,1
C2030266969,1,10000000.0,1
C2029456603,1,10000000.0,1
C201807091,1,10000000.0,1
C2013390104,1,10000000.0,1
C1990623385,1,10000000.0,1
C1979637041,1,10000000.0,1
C1976182150,1,10000000.0,1
C1973915590,1,10000000.0,1
C1971187430,1,10000000.0,1
C196714546,1,10000000.0,1
C1954217280,1,10000000.0,1
C1941053102,1,10000000.0,1
C1939028448,1,10000000.0,1
C193638063,1,10000000.0,1
C1934167334,1,10000000.0,1
C1923492040,1,10000000.0,1
C19233081,1,10000000.0,1
C1917849910,1,10000000.0,1
C1917566425,1,10000000.0,1
C1916793179,1,10000000.0,1
C1910926478,1,10000000.0,1
C1910239392,1,10000000.0,1
C1908782637,1,10000000.0,1
C1877706055,1,10000000.0,1
C1866259073,1,10000000.0,1
C1865083017,1,10000000.0,1
C1856701476,1,10000000.0,1
C1853789265,1,10000000.0,1
C1852255407,1,10000000.0,1
C1846567377,1,10000000.0,1
C184545705,1,10000000.0,1
C1827220106,1,10000000.0,1
C1825256816,1,10000000.0,1
C1823815645,1,10000000.0,1
C1820998538,1,10000000.0,1
C1817199105,1,10000000.0,1
C1808278362,1,10000000.0,1
C1808132497,1,10000000.0,1
C180656543,1,10000000.0,1
C1806199534,1,10000000.0,1
C1786144514,1,10000000.0,1
C1784785490,1,10000000.0,1
C1774310379,1,10000000.0,1
C1773776028,1,10000000.0,1
C177097272,1,10000000.0,1
C1759432374,1,10000000.0,1
C1744886336,1,10000000.0,1
C1744662180,1,10000000.0,1
C1741236640,1,10000000.0,1
C1733297456,1,10000000.0,1
C1732619349,1,10000000.0,1
C1730830963,1,10000000.0,1
C1728836940,1,10000000.0,1
C1683234279,1,10000000.0,1
C167868594,1,10000000.0,1
C1677685761,1,10000000.0,1
C1671906752,1,10000000.0,1
C1648566106,1,10000000.0,1
C1641778666,1,10000000.0,1
C1630566944,1,10000000.0,1
C1622860679,1,10000000.0,1
C1614528665,1,10000000.0,1
C1595458981,1,10000000.0,1
C1590217660,1,10000000.0,1
C1564795146,1,10000000.0,1
C1554273675,1,10000000.0,1
C1552047052,1,10000000.0,1
C1546786985,1,10000000.0,1
C1542053333,1,10000000.0,1
C1527777046,1,10000000.0,1
C1527429194,1,10000000.0,1
C1519453344,1,10000000.0,1
C1510815107,1,10000000.0,1
C1505960727,1,10000000.0,1
C150091086,1,10000000.0,1
C1481530015,1,10000000.0,1
C1468356154,1,10000000.0,1
C1466553904,1,10000000.0,1
C1464217009,1,10000000.0,1
C1441560807,1,10000000.0,1
C1430589184,1,10000000.0,1
C1423246212,1,10000000.0,1
C141316671,1,10000000.0,1
C1401949177,1,10000000.0,1
C1396306912,1,10000000.0,1
C1395467927,1,10000000.0,1
C1395082788,1,10000000.0,1
C1392803603,1,10000000.0,1
C1390461904,1,10000000.0,1
C1379703840,1,10000000.0,1
C1370100102,1,10000000.0,1
C1369253515,1,10000000.0,1
C1364745638,1,10000000.0,1
C1355993578,1,10000000.0,1
C1347105871,1,10000000.0,1
C1334434319,1,10000000.0,1
C129828249,1,10000000.0,1
C1291939349,1,10000000.0,1
C1270029603,1,10000000.0,1
C1265892323,1,10000000.0,1
C125702772,1,10000000.0,1
C125311108,1,10000000.0,1
C1250722530,1,10000000.0,1
